Mes,Dia,Time,Jogador,Q1_Pos,Q1_Kills,Q2_Pos,Q2_Kills,Q3_Pos,Q3_Kills,MVP_Vezes,Dano_Medio
Maio,19,UGD,Player1,1,5,2,3,3,4,1,1200
Maio,19,UGD,Player2,1,4,2,2,3,3,0,1100
Maio,19,UGD,Player3,1,3,2,4,3,2,0,1050
Maio,19,UGD,Player4,1,2,2,1,3,5,0,950
Maio,19,RED,Player5,2,6,1,4,4,3,2,1300
Maio,19,RED,Player6,2,3,1,5,4,2,0,1150
Maio,19,RED,Player7,2,4,1,3,4,4,0,1200
Maio,19,RED,Player8,2,2,1,2,4,1,0,900
Maio,19,RED Lango,Player9,3,3,4,2,1,6,1,1100
Maio,19,RED Lango,Player10,3,2,4,3,1,4,0,1000
Maio,19,RED Lango,Player11,3,4,4,1,1,3,0,1050
Maio,19,RED Lango,Player12,3,1,4,2,1,2,0,850
Maio,19,LMF,Player13,4,2,3,4,2,3,0,950
Maio,19,LMF,Player14,4,3,3,2,2,4,0,1000
Maio,19,LMF,Player15,4,1,3,3,2,2,0,900
Maio,19,LMF,Player16,4,2,3,1,2,1,0,800
Maio,19,KOV,Player17,5,4,5,3,5,2,0,1050
Maio,19,KOV,Player18,5,2,5,2,5,3,0,950
Maio,19,KOV,Player19,5,3,5,4,5,1,0,1000
Maio,19,KOV,Player20,5,1,5,1,5,2,0,850
Maio,19,CMF,Player21,6,2,6,3,6,4,0,900
Maio,19,CMF,Player22,6,1,6,2,6,1,0,800
Maio,19,CMF,Player23,6,3,6,1,6,3,0,950
Maio,19,CMF,Player24,6,2,6,2,6,2,0,850
Maio,19,Time_E,Player25,7,1,7,2,7,1,0,750
Maio,19,Time_E,Player26,7,2,7,1,7,2,0,700
Maio,19,Time_E,Player27,7,1,7,3,7,1,0,800
Maio,19,Time_E,Player28,7,2,7,1,7,2,0,650
